Data,Temperatura,Umidade,IndiceCalor
1700598158,23.0,67.0,23.104771
1700598161,23.0,67.0,23.104771
1700598164,24.0,67.0,24.204758
1700598167,24.0,67.0,24.204758
1700598170,24.0,67.0,24.204758
1700598173,24.0,67.0,24.204758
1700598176,24.0,67.0,24.204758
1700598179,24.0,67.0,24.204758
1700598182,24.0,67.0,24.204758
1700598185,24.0,66.0,24.178644
1700598188,24.0,66.0,24.178644
1700598191,25.0,66.0,25.278635
1700598194,25.0,66.0,25.278635
1700598197,25.0,66.0,25.278635
1700598200,25.0,66.0,25.278635
1700598203,25.0,65.0,25.252525
1700598206,25.0,65.0,25.252525
1700598209,25.0,65.0,25.252525
1700598212,25.0,65.0,25.252525
1700598215,25.0,65.0,25.252525
1700598219,25.0,64.0,25.226414
1700598221,25.0,64.0,25.226414
1700598224,25.0,64.0,25.226414
1700598228,26.0,64.0,27.073711
1700598231,26.0,63.0,27.037058
1700598234,26.0,63.0,27.037058
1700598237,27.0,63.0,28.301617
1700598240,28.0,63.0,29.791813
1700598243,29.0,63.0,31.507626
1700598246,29.0,63.0,31.507626
1700598249,30.0,62.0,33.239052
1700598252,30.0,62.0,33.239052
1700598255,31.0,62.0,35.353958
1700598258,31.0,61.0,35.097012
1700598261,31.0,61.0,35.097012
1700598264,32.0,60.0,37.073914
1700598267,33.0,59.0,39.162094
1700598270,33.0,59.0,39.162094
1700598273,34.0,58.0,41.353786
1700598276,34.0,58.0,41.353786
1700598279,34.0,57.0,40.954922
1700598282,34.0,57.0,40.954922
1700598285,34.0,56.0,40.564259
1700598288,34.0,56.0,40.564259
1700598291,34.0,55.0,40.181797
1700598294,33.0,55.0,37.812691
1700598297,33.0,54.0,37.493412
1700598300,33.0,53.0,37.181362
1700598303,33.0,53.0,37.181362
1700598307,33.0,52.0,36.876541
1700598310,33.0,52.0,36.876541
1700598313,33.0,51.0,36.578949
1700598316,33.0,50.0,36.288589
1700598319,33.0,50.0,36.288589
1700598322,33.0,49.0,36.005451
1700598325,32.0,49.0,34.126617
1700598328,32.0,49.0,34.126617
1700598331,33.0,49.0,36.005451
1700598334,34.0,49.0,38.059216
1700598337,34.0,49.0,38.059216
1700598340,34.0,48.0,37.73415
1700598343,34.0,48.0,37.73415
1700598346,34.0,48.0,37.73415
1700598349,34.0,47.0,37.417286
1700598352,34.0,47.0,37.417286
1700598355,34.0,47.0,37.417286
1700598358,33.0,46.0,35.199429
1700598361,33.0,46.0,35.199429
1700598364,33.0,45.0,34.94521
1700598367,33.0,45.0,34.94521
1700598370,33.0,45.0,34.94521
1700598373,33.0,45.0,34.94521
1700598376,33.0,44.0,34.698223
1700598379,33.0,44.0,34.698223
1700598382,33.0,44.0,34.698223
1700598385,33.0,44.0,34.698223
1700598389,33.0,44.0,34.698223
1700598392,33.0,44.0,34.698223
1700598395,33.0,44.0,34.698223
1700598398,34.0,44.0,36.515892
1700598401,36.0,44.0,40.619686
1700598404,36.0,44.0,40.619686
1700598407,37.0,45.0,43.356602
1700598410,39.0,45.0,48.521877
1700598413,40.0,44.0,50.701
1700598416,41.0,44.0,53.611694
1700598419,41.0,44.0,53.611694
1700598422,42.0,43.0,55.90321
1700598425,42.0,43.0,55.90321
1700598428,42.0,42.0,55.143356
1700598431,43.0,41.0,57.388943
1700598434,43.0,40.0,56.584
1700598437,43.0,40.0,56.584
1700598440,44.0,39.0,58.771225
1700598443,44.0,38.0,57.920708
1700598446,44.0,37.0,57.087307
1700598449,43.0,36.0,53.527195
1700598452,43.0,35.0,52.803722
1700598456,44.0,34.0,54.689842
